cohort,site,siteState,family,roleOrKind,slug,titleOrQuery,url,clicks,impressions,ctr,position,band,decision,immediateContentMutation,earliestActionDate,reason
ranking118,network,recovery,,product,tp-link-deco-be67-wifi-7-mesh,Is Deco BE67 worth buying instead of BE63 or BE85?,https://network.madabase.com/reviews/tp-link-deco-be67-wifi-7-mesh,0,21,0%,25.29,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,network,recovery,,product,tp-link-deco-be25-wifi-7-mesh,Is Deco BE25 a good fit for a wired-backhaul Wi-Fi 7 home?,https://network.madabase.com/reviews/tp-link-deco-be25-wifi-7-mesh,1,94,1.06%,21.33,position-21-40,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,network,recovery,,product,tp-link-deco-be63-wifi-7-mesh,Does Deco BE63 have a more useful port layout than BE67?,https://network.madabase.com/reviews/tp-link-deco-be63-wifi-7-mesh,1,98,1.02%,18.05,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,network,recovery,,roundup,tp-link-deco-be67-vs-be63,Deco BE63 or BE67: which Ethernet ports are more useful?,https://network.madabase.com/best/tp-link-deco-be67-vs-be63,1,66,1.52%,15.02,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,network,recovery,,roundup,deco-be25-vs-be63,Deco BE25 vs BE63: is 6GHz or four 2.5GbE ports worth the upgrade?,https://network.madabase.com/best/deco-be25-vs-be63,3,33,9.09%,11.82,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,network,recovery,,guide,deco-be63-ethernet-backhaul-setup,Will Deco BE63 Ethernet backhaul stay at 2.5Gbps through a switch?,https://network.madabase.com/guides/deco-be63-ethernet-backhaul-setup,0,45,0%,11.04,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,network,recovery,,guide,deco-be63-be67-two-pack-vs-three-pack,Should you start with two or three Deco BE63 or BE67 nodes?,https://network.madabase.com/guides/deco-be63-be67-two-pack-vs-three-pack,1,12,8.33%,8.33,top-10,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,network,recovery,,guide,is-deco-be67-worth-it-for-gigabit-internet,Is Deco BE67 worth buying for a 1Gbps internet plan?,https://network.madabase.com/guides/is-deco-be67-worth-it-for-gigabit-internet,0,0,0%,,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,network,recovery,,guide,deco-be67-10gbe-network-checklist,Can one Deco BE67 node dedicate 10GbE to both WAN and LAN?,https://network.madabase.com/guides/deco-be67-10gbe-network-checklist,0,0,0%,,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
ranking118,baby,protect,,guide,ergobaby-omni-breeze-positions-by-age,Which Ergobaby Omni Breeze position is appropriate at each age?,https://baby.madabase.com/guides/ergobaby-omni-breeze-positions-by-age,2,51,3.92%,8.75,top-10,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,pet,recovery,,product,furbo-360-dog-camera,Does Furbo 360 work without a Furbo Nanny subscription?,https://pets.madabase.com/reviews/furbo-360-dog-camera,0,61,0%,20.74,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,network,recovery,,guide,ethernet-stuck-at-100-mbps-guide,Why is an Ethernet link stuck at 100 Mbps?,https://network.madabase.com/guides/ethernet-stuck-at-100-mbps-guide,2,77,2.6%,19.77,position-11-20,protect-click-bearing-intent,hold,now-protection-only,The exact URL earned at least one click in the complete cohort window; avoid title or canonical churn during the update.
ranking118,baby,protect,,product,ergobaby-omni-breeze-carrier,Is Ergobaby Omni Breeze suitable for a newborn?,https://baby.madabase.com/reviews/ergobaby-omni-breeze-carrier,0,60,0%,11.43,position-11-20,strengthen-supporting-evidence,hold,rollout-complete-plus-3-days,The established page is on page two and is a focused supporting-evidence candidate after the update.
ranking118,homeoffice,protect,,product,branch-ergonomic-chair,"Is the Branch Ergonomic Chair a good fit, and what does its warranty cover?",https://homeoffice.madabase.com/reviews/branch-ergonomic-chair,0,17,0%,36.76,position-21-40,query-intent-review,hold,rollout-complete-plus-3-days,The page has measurable discovery but needs exact query-to-page fit evidence before a focused rewrite.
ranking118,network,recovery,,guide,deco-be63-vs-be67-vs-be85-buying-guide,"Should you buy Deco BE63, BE67, or BE85?",https://network.madabase.com/guides/deco-be63-vs-be67-vs-be85-buying-guide,0,31,0%,7.94,top-10,protect-ranking-review-ctr,hold,rollout-complete-plus-3-days,The URL ranks in the top ten; preserve the intent and review CTR only after rollout data stabilizes.
ranking118,pet,recovery,,roundup,coway-mighty2-vs-winix-5510-vs-levoit-vital-200s,Which air purifier is the best fit for a pet home?,https://pets.madabase.com/best/coway-mighty2-vs-winix-5510-vs-levoit-vital-200s,0,0,0%,,zero-impression,index-demand-and-canonical-review,hold,rollout-complete-plus-3-days,"The established page has no impressions; verify indexing, demand and competing canonical intent before changing it."
